BN	TN	SubNum	group	hand	isTrain	isChanged	seq	cue	digitChangePos	precueTime	windowSize	press1	press2	press3	press4	press5	press6	press7	press8	press9	press10	press11	RT	ET	norm_MT	isError	timingError	points	response1	response2	response3	response4	response5	response6	response7	response8	response9	response10	response11	handPressed1	handPressed2	handPressed3	handPressed4	handPressed5	handPressed6	handPressed7	handPressed8	handPressed9	handPressed10	handPressed11	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	pressTime7	pressTime8	pressTime9	pressTime10	pressTime11	timeThreshold	timeThresholdSuper	startTime	startTimeReal	trialDur	startTR	startTRtime	useMetronome	isCross	crossTime	
1	1	5	0	2	1	0	35421252143	35421252143	4	0	2	3	5	4	2	1	2	5	2	1	4	3	835.000	4245.000	5080.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	840.000	1145.000	1460.000	1735.000	2070.000	2315.000	2920.000	3195.000	4005.000	4640.000	4895.000	3500.000	2940.000	0	-1	8300	-1	-1	1	0	0	
1	2	5	0	2	1	0	35421252143	35421252143	4	0	4	3	5	4	2	1	2	5	2	1	4	3	615.000	3295.000	3910.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	620.000	870.000	1140.000	1435.000	1710.000	1985.000	2340.000	2865.000	3260.000	3535.000	3750.000	3500.000	2940.000	0	-1	7130	-1	-1	1	0	0	
1	3	5	0	2	1	0	14325242135	14325242135	4	0	4	1	4	3	2	5	2	4	2	1	3	5	605.000	4270.000	4875.000	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	610.000	1065.000	1345.000	1645.000	1945.000	2250.000	2620.000	3455.000	3800.000	4220.000	4690.000	3500.000	2940.000	0	-1	8095	-1	-1	1	0	0	
1	4	5	0	2	1	0	35421252143	35421252143	4	0	11	3	5	4	2	1	2	5	2	1	4	3	585.000	3160.000	3745.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	590.000	840.000	1115.000	1370.000	1645.000	1875.000	2260.000	2520.000	2930.000	3300.000	3540.000	3500.000	2940.000	0	-1	6965	-1	-1	1	0	0	
1	5	5	0	2	1	0	51423252413	51423252413	4	0	2	5	1	4	2	3	2	5	2	4	1	3	670.000	4160.000	4830.000	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	675.000	965.000	1265.000	1540.000	1820.000	2170.000	2660.000	2970.000	4005.000	4435.000	4645.000	3500.000	2940.000	0	-1	8050	-1	-1	1	0	0	
1	6	5	0	2	1	0	51423252413	51423252413	4	0	11	5	1	4	2	3	2	5	2	4	1	3	935.000	3195.000	4130.000	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	940.000	1220.000	1505.000	1790.000	2080.000	2370.000	2705.000	2975.000	3320.000	3740.000	3945.000	3500.000	2940.000	0	-1	7350	-1	-1	1	0	0	
1	7	5	0	2	1	0	51423252413	51423252413	4	0	4	5	1	4	2	3	2	5	2	4	1	3	705.000	3195.000	3900.000	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	710.000	945.000	1200.000	1460.000	1740.000	2010.000	2325.000	2545.000	2915.000	3615.000	3735.000	3500.000	2940.000	0	-1	7120	-1	-1	1	0	0	
1	8	5	0	2	1	0	13524232514	13524232514	4	0	4	1	3	5	2	4	2	3	2	5	1	4	700.000	3245.000	3945.000	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	705.000	950.000	1265.000	1515.000	1805.000	2135.000	2425.000	2775.000	3075.000	3490.000	3755.000	3500.000	2940.000	0	-1	7165	-1	-1	1	0	0	
1	9	5	0	2	1	0	13524232514	13524232514	4	0	2	1	3	5	2	4	2	3	2	5	1	4	610.000	3895.000	4505.000	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	615.000	875.000	1220.000	1520.000	2090.000	2365.000	2700.000	3065.000	3605.000	4050.000	4325.000	3500.000	2940.000	0	-1	7725	-1	-1	1	0	0	
1	10	5	0	2	1	0	35421252143	35421252143	4	0	11	3	5	4	2	1	2	5	2	1	4	3	725.000	3545.000	4270.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	730.000	1045.000	1335.000	1635.000	2010.000	2290.000	2700.000	2995.000	3495.000	3855.000	4115.000	3500.000	2940.000	0	-1	7490	-1	-1	1	0	0	
