BN	TN	SubNum	group	hand	isTrain	isChanged	seq	cue	digitChangePos	precueTime	windowSize	press1	press2	press3	press4	press5	press6	press7	press8	press9	press10	press11	RT	ET	norm_MT	isError	timingError	points	response1	response2	response3	response4	response5	response6	response7	response8	response9	response10	response11	handPressed1	handPressed2	handPressed3	handPressed4	handPressed5	handPressed6	handPressed7	handPressed8	handPressed9	handPressed10	handPressed11	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	pressTime7	pressTime8	pressTime9	pressTime10	pressTime11	timeThreshold	timeThresholdSuper	startTime	startTimeReal	trialDur	startTR	startTRtime	useMetronome	isCross	crossTime	IPI1	IPI2	IPI3	IPI4	IPI5	IPI6	IPI7	IPI8	IPI9	IPI10	IPI0	is_trained_seq	is_untrained_seq	is_rand_seq	is_digit_changed
1	1	1	0	2	1	0	14325242135	14325242135	4	0	3	1	4	3	2	5	2	4	2	1	3	5	825	3375	4200	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	830	1050	1275	1835	2110	2455	2730	3275	3545	3790	3985	3500.0	2940.0	0	-1	7420	-1	-1	1	0	0	220	225	560	275	345	275	545	270	245	195	825	False	True	False	False
1	2	1	0	2	1	0	13524232514	13524232514	4	0	2	1	3	5	2	4	2	3	2	5	1	4	825	3325	4150	1	0	0	1	3	5	2	4	2	4	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	830	995	1355	1610	1860	2075	2320	3185	3400	3725	3970	3500.0	2940.0	0	-1	7370	-1	-1	1	0	0	165	360	255	250	215	245	865	215	325	245	825	True	False	False	False
1	3	1	0	2	1	0	13524232514	13524232514	4	0	4	1	3	5	2	4	2	3	2	5	1	4	735	2720	3455	0	0	2	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	740	945	1170	1420	1710	1940	2190	2460	2770	3070	3285	3500.0	2940.0	0	-1	6675	-1	-1	1	0	0	205	225	250	290	230	250	270	310	300	215	735	True	False	False	False
1	4	1	0	2	1	0	51423252413	51423252413	4	0	2	5	1	4	2	3	2	5	2	4	1	3	710	2905	3615	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	715	995	1275	1465	1750	2140	2420	2665	2905	3195	3395	3500.0	2940.0	0	-1	6835	-1	-1	1	0	0	280	280	190	285	390	280	245	240	290	200	710	False	True	False	False
1	5	1	0	2	1	0	51423252413	51423252413	4	0	4	5	1	4	2	3	2	5	2	4	1	3	510	2575	3085	0	0	2	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	515	790	1010	1205	1440	1695	1945	2160	2435	2680	2840	3500.0	2940.0	0	-1	6305	-1	-1	1	0	0	275	220	195	235	255	250	215	275	245	160	510	False	True	False	False
1	6	1	0	2	1	0	51423252413	51423252413	4	0	2	5	1	4	2	3	2	5	2	4	1	3	420	2425	2845	0	0	3	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	425	650	875	1095	1340	1550	1785	1990	2250	2455	2595	3500.0	2940.0	0	-1	6065	-1	-1	1	0	0	225	225	220	245	210	235	205	260	205	140	420	False	True	False	False
1	7	1	0	2	1	0	13524232514	13524232514	4	0	2	1	3	5	2	4	2	3	2	5	1	4	420	3050	3470	1	0	0	1	3	5	2	4	2	3	2	5	2	4	2	2	2	2	2	2	2	2	2	2	2	425	640	920	1125	1395	1610	1885	2120	2375	2600	3210	3500.0	2940.0	0	-1	6690	-1	-1	1	0	0	215	280	205	270	215	275	235	255	225	610	420	True	False	False	False
1	8	1	0	2	1	0	14325242135	14325242135	4	0	11	1	4	3	2	5	2	4	2	1	3	5	590	3095	3685	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	595	800	1120	1400	1655	1895	2295	2700	2980	3245	3435	3500.0	2940.0	0	-1	6905	-1	-1	1	0	0	205	320	280	255	240	400	405	280	265	190	590	False	True	False	False
1	9	1	0	2	1	0	14325242135	14325242135	4	0	11	1	4	3	2	5	2	4	2	1	3	5	550	2535	3085	0	0	2	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	555	795	1005	1245	1475	1695	1950	2185	2505	2720	2870	3500.0	2940.0	0	-1	6305	-1	-1	1	0	0	240	210	240	230	220	255	235	320	215	150	550	False	True	False	False
1	10	1	0	2	1	0	13524232514	13524232514	4	0	4	1	3	5	2	4	2	3	2	5	1	4	485	2580	3065	0	0	2	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	490	750	950	1170	1405	1580	1840	2085	2405	2685	2875	3500.0	2940.0	0	-1	6285	-1	-1	1	0	0	260	200	220	235	175	260	245	320	280	190	485	True	False	False	False
