BN	TN	SubNum	group	hand	isTrain	seq	cue	windowSize	digitChangePos	isTrialError	timingError	isCross	crossTime	IPI_Number	IPI_Value	N	Press_Number	Press_Value	Response_Number	Response_Value	isPressError	is_trained_seq	is_untrained_seq	is_rand_seq	is_digit_changed
1	1	1	0	2	1	14325242135	14325242135	3	4	0	0	0	0	IPI1	220	2	press2	4	response2	4	False	False	True	False	False
1	2	1	0	2	1	13524232514	13524232514	2	4	1	0	0	0	IPI1	165	2	press2	3	response2	3	False	True	False	False	False
1	3	1	0	2	1	13524232514	13524232514	4	4	0	0	0	0	IPI1	205	2	press2	3	response2	3	False	True	False	False	False
1	4	1	0	2	1	51423252413	51423252413	2	4	0	0	0	0	IPI1	280	2	press2	1	response2	1	False	False	True	False	False
1	5	1	0	2	1	51423252413	51423252413	4	4	0	0	0	0	IPI1	275	2	press2	1	response2	1	False	False	True	False	False
1	6	1	0	2	1	51423252413	51423252413	2	4	0	0	0	0	IPI1	225	2	press2	1	response2	1	False	False	True	False	False
1	7	1	0	2	1	13524232514	13524232514	2	4	1	0	0	0	IPI1	215	2	press2	3	response2	3	False	True	False	False	False
1	8	1	0	2	1	14325242135	14325242135	11	4	0	0	0	0	IPI1	205	2	press2	4	response2	4	False	False	True	False	False
1	9	1	0	2	1	14325242135	14325242135	11	4	0	0	0	0	IPI1	240	2	press2	4	response2	4	False	False	True	False	False
1	10	1	0	2	1	13524232514	13524232514	4	4	0	0	0	0	IPI1	260	2	press2	3	response2	3	False	True	False	False	False
1	11	1	0	2	1	14325242135	14325242135	2	4	0	0	0	0	IPI1	245	2	press2	4	response2	4	False	False	True	False	False
1	12	1	0	2	1	51423252413	51423252413	3	4	0	0	0	0	IPI1	265	2	press2	1	response2	1	False	False	True	False	False
1	13	1	0	2	1	14325242135	14325242135	3	4	0	0	0	0	IPI1	265	2	press2	4	response2	4	False	False	True	False	False
1	14	1	0	2	1	35421252143	35421252143	11	4	1	0	0	0	IPI1	675	2	press2	5	response2	5	False	True	False	False	False
1	15	1	0	2	1	35421252143	35421252143	3	4	1	0	0	0	IPI1	225	2	press2	5	response2	5	False	True	False	False	False
1	16	1	0	2	1	51423252413	51423252413	11	4	1	0	0	0	IPI1	265	2	press2	1	response2	1	False	False	True	False	False
1	17	1	0	2	1	35421252143	35421252143	11	4	1	0	0	0	IPI1	225	2	press2	5	response2	5	False	True	False	False	False
1	18	1	0	2	1	35421252143	35421252143	4	4	0	0	0	0	IPI1	245	2	press2	5	response2	5	False	True	False	False	False
1	19	1	0	2	1	51423252413	51423252413	3	4	0	0	0	0	IPI1	240	2	press2	1	response2	1	False	False	True	False	False
1	20	1	0	2	1	13524232514	13524232514	11	4	0	0	0	0	IPI1	270	2	press2	3	response2	3	False	True	False	False	False
1	21	1	0	2	1	51423252413	51423252413	4	4	1	0	0	0	IPI1	230	2	press2	1	response2	1	False	False	True	False	False
1	22	1	0	2	1	13524232514	13524232514	3	4	0	0	0	0	IPI1	215	2	press2	3	response2	3	False	True	False	False	False
1	23	1	0	2	1	51423252413	51423252413	11	4	0	0	0	0	IPI1	235	2	press2	1	response2	1	False	False	True	False	False
1	24	1	0	2	1	35421252143	35421252143	4	4	1	0	0	0	IPI1	265	2	press2	5	response2	5	False	True	False	False	False
1	25	1	0	2	1	13524232514	13524232514	3	4	0	0	0	0	IPI1	160	2	press2	3	response2	3	False	True	False	False	False
1	26	1	0	2	1	35421252143	35421252143	2	4	0	0	0	0	IPI1	260	2	press2	5	response2	5	False	True	False	False	False
1	27	1	0	2	1	14325242135	14325242135	4	4	0	0	0	0	IPI1	265	2	press2	4	response2	4	False	False	True	False	False
1	28	1	0	2	1	14325242135	14325242135	4	4	0	0	0	0	IPI1	205	2	press2	4	response2	4	False	False	True	False	False
1	29	1	0	2	1	14325242135	14325242135	2	4	0	0	0	0	IPI1	235	2	press2	4	response2	4	False	False	True	False	False
1	30	1	0	2	1	35421252143	35421252143	3	4	0	0	0	0	IPI1	270	2	press2	5	response2	5	False	True	False	False	False
1	31	1	0	2	1	35421252143	35421252143	2	4	0	0	0	0	IPI1	275	2	press2	5	response2	5	False	True	False	False	False
1	32	1	0	2	1	13524232514	13524232514	11	4	0	0	0	0	IPI1	230	2	press2	3	response2	3	False	True	False	False	False
2	1	1	0	2	1	35421252143	35421252143	3	6	0	0	0	0	IPI1	230	2	press2	5	response2	5	False	True	False	False	False
2	2	1	0	2	1	13524232514	13524232514	2	6	0	0	0	0	IPI1	225	2	press2	3	response2	3	False	True	False	False	False
2	3	1	0	2	1	13524232514	13524232514	2	6	0	0	0	0	IPI1	230	2	press2	3	response2	3	False	True	False	False	False
2	4	1	0	2	1	13524232514	13524232514	4	6	0	0	0	0	IPI1	190	2	press2	3	response2	3	False	True	False	False	False
2	5	1	0	2	1	13524232514	13524232514	11	6	0	0	0	0	IPI1	140	2	press2	3	response2	3	False	True	False	False	False
2	6	1	0	2	1	13524232514	13524232514	3	6	0	0	0	0	IPI1	190	2	press2	3	response2	3	False	True	False	False	False
2	7	1	0	2	1	35421252143	35421252143	4	6	1	0	0	0	IPI1	205	2	press2	5	response2	5	False	True	False	False	False
2	8	1	0	2	1	13524232514	13524232514	11	6	0	0	0	0	IPI1	110	2	press2	3	response2	3	False	True	False	False	False
2	9	1	0	2	1	35421252143	35421252143	3	6	0	0	0	0	IPI1	210	2	press2	5	response2	5	False	True	False	False	False
2	10	1	0	2	1	13524232514	13524232514	4	6	0	0	0	0	IPI1	150	2	press2	3	response2	3	False	True	False	False	False
2	11	1	0	2	1	35421252143	35421252143	4	6	0	0	0	0	IPI1	190	2	press2	5	response2	5	False	True	False	False	False
2	12	1	0	2	1	13524232514	13524232514	4	6	0	0	0	0	IPI1	145	2	press2	3	response2	3	False	True	False	False	False
2	13	1	0	2	1	13524232514	13524232514	11	6	0	0	0	0	IPI1	140	2	press2	3	response2	3	False	True	False	False	False
2	14	1	0	2	1	35421252143	35421252143	11	6	0	0	0	0	IPI1	200	2	press2	5	response2	5	False	True	False	False	False
2	15	1	0	2	1	13524232514	13524232514	2	6	0	0	0	0	IPI1	225	2	press2	3	response2	3	False	True	False	False	False
2	16	1	0	2	1	13524232514	13524232514	3	6	0	0	0	0	IPI1	135	2	press2	3	response2	3	False	True	False	False	False
2	17	1	0	2	1	35421252143	35421252143	11	6	1	0	0	0	IPI1	195	2	press2	5	response2	5	False	True	False	False	False
2	18	1	0	2	1	35421252143	35421252143	3	6	1	0	0	0	IPI1	245	2	press2	5	response2	5	False	True	False	False	False
2	19	1	0	2	1	35421252143	35421252143	3	6	0	0	0	0	IPI1	195	2	press2	5	response2	5	False	True	False	False	False
2	20	1	0	2	1	35421252143	35421252143	2	6	0	0	0	0	IPI1	220	2	press2	5	response2	5	False	True	False	False	False
2	21	1	0	2	1	35421252143	35421252143	11	6	0	0	0	0	IPI1	230	2	press2	5	response2	5	False	True	False	False	False
2	22	1	0	2	1	13524232514	13524232514	4	6	0	0	0	0	IPI1	145	2	press2	3	response2	3	False	True	False	False	False
2	23	1	0	2	1	35421252143	35421252143	4	6	0	0	0	0	IPI1	210	2	press2	5	response2	5	False	True	False	False	False
2	24	1	0	2	1	35421252143	35421252143	2	6	0	0	0	0	IPI1	220	2	press2	5	response2	5	False	True	False	False	False
2	25	1	0	2	1	35421252143	35421252143	2	6	0	0	0	0	IPI1	240	2	press2	5	response2	5	False	True	False	False	False
